source,target,relation_type,method,confidence,verification_status,discovered_at,support,lift,count,avg_time_gap,pattern_type,full_pattern
VIBRATION_HIGH,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.8166666666666667,auto,2025-12-24 23:38:12.395642,0.6950354609929078,0.9676470588235294,196,0.0,co_occurrence,VIBRATION_HIGH → VIBRATION_LOW
TEMPERATURE_HIGH,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.8095238095238095,auto,2025-12-24 23:38:12.395701,0.18085106382978725,0.9591836734693878,51,0.0,co_occurrence,TEMPERATURE_HIGH → VIBRATION_LOW
ANOMALY_END,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.8064516129032258,auto,2025-12-24 23:38:12.395677,0.1773049645390071,0.9555435077256709,50,0.0,co_occurrence,ANOMALY_END → VIBRATION_LOW
CURRENT_LOW,FLOW_RATE_LOW,PRECEDES,pattern_mining,0.7978723404255319,auto,2025-12-24 23:38:12.395136,0.7978723404255319,67.64619103872614,225,34.044444444444444,sequential,CURRENT_LOW → FLOW_RATE_LOW
VIBRATION_HIGH,PRESSURE_HIGH,PRECEDES,pattern_mining,0.7872340425531915,auto,2025-12-24 23:38:12.395073,0.7872340425531915,63.335633561205434,222,28.11261261261261,sequential,VIBRATION_HIGH → PRESSURE_HIGH
VIBRATION_HIGH,FLOW_RATE_HIGH,PRECEDES,pattern_mining,0.7836879432624113,auto,2025-12-24 23:38:12.395068,0.7836879432624113,64.01927834351626,221,34.30316742081448,sequential,VIBRATION_HIGH → FLOW_RATE_HIGH
CURRENT_HIGH,VIBRATION_HIGH,PRECEDES,pattern_mining,0.776595744680851,auto,2025-12-24 23:38:12.395071,0.776595744680851,65.93698302863656,219,31.78082191780822,sequential,CURRENT_HIGH → VIBRATION_HIGH
TEMPERATURE_LOW,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.7627118644067796,auto,2025-12-24 23:38:12.395638,0.1595744680851064,0.9037174191710582,45,0.0,co_occurrence,TEMPERATURE_LOW → VIBRATION_LOW
FLOW_RATE_HIGH,VIBRATION_HIGH,PRECEDES,pattern_mining,0.7446808510638298,auto,2025-12-24 23:38:12.394984,0.7446808510638298,60.832798425965684,210,30.571428571428573,sequential,FLOW_RATE_HIGH → VIBRATION_HIGH
PRESSURE_HIGH,TEMPERATURE_HIGH,PRECEDES,pattern_mining,0.5555555555555556,pending,2025-12-24 23:38:12.395489,0.05319148936170213,3501.571818535711,15,11.933333333333334,sequential,TEMPERATURE_HIGH → TEMPERATURE_HIGH → PRESSURE_HIGH → TEMPERATURE_HIGH
CURRENT_HIGH,TEMPERATURE_LOW,PRECEDES,pattern_mining,0.4375,pending,2025-12-24 23:38:12.394999,0.07446808510638298,220.8902551529308,21,22.547619047619047,sequential,TEMPERATURE_LOW → CURRENT_HIGH → TEMPERATURE_LOW
PRESSURE_LOW,FLOW_RATE_HIGH,PRECEDES,pattern_mining,0.3900709219858156,pending,2025-12-24 23:38:12.395189,0.3900709219858156,29.405494852687784,110,58.13636363636363,sequential,PRESSURE_LOW → FLOW_RATE_HIGH
PRESSURE_LOW,VIBRATION_HIGH,PRECEDES,pattern_mining,0.38652482269503546,pending,2025-12-24 23:38:12.394966,0.38652482269503546,31.943291033552615,109,42.678899082568805,sequential,PRESSURE_LOW → VIBRATION_HIGH
VIBRATION_LOW,TEMPERATURE_LOW,PRECEDES,pattern_mining,0.38461538461538464,pending,2025-12-24 23:38:12.395015,0.07092198581560284,227.78353321161663,20,17.725,sequential,TEMPERATURE_LOW → VIBRATION_LOW → TEMPERATURE_LOW
CURRENT_HIGH,TEMPERATURE_HIGH,PRECEDES,pattern_mining,0.379746835443038,pending,2025-12-24 23:38:12.395474,0.10638297872340426,373.5738553782381,30,25.95,sequential,TEMPERATURE_HIGH → CURRENT_HIGH → TEMPERATURE_HIGH
VIBRATION_LOW,CURRENT_HIGH,PRECEDES,pattern_mining,0.37943262411347517,pending,2025-12-24 23:38:12.395187,0.37943262411347517,33.0714247757496,107,65.4392523364486,sequential,VIBRATION_LOW → CURRENT_HIGH
CURRENT_LOW,PRESSURE_HIGH,PRECEDES,pattern_mining,0.36879432624113473,pending,2025-12-24 23:38:12.395120,0.36879432624113473,27.109830640999743,104,47.01923076923077,sequential,CURRENT_LOW → PRESSURE_HIGH
PRESSURE_HIGH,VIBRATION_LOW,PRECEDES,pattern_mining,0.36524822695035464,pending,2025-12-24 23:38:12.394953,0.36524822695035464,30.165917585676045,103,43.44660194174757,sequential,PRESSURE_HIGH → VIBRATION_LOW
FLOW_RATE_LOW,TEMPERATURE_LOW,PRECEDES,pattern_mining,0.359375,pending,2025-12-24 23:38:12.395152,0.08156028368794327,264.40073024317235,23,27.608695652173914,sequential,TEMPERATURE_LOW → FLOW_RATE_LOW → TEMPERATURE_LOW
FLOW_RATE_HIGH,TEMPERATURE_HIGH,PRECEDES,pattern_mining,0.3582089552238806,pending,2025-12-24 23:38:12.395415,0.0851063829787234,287.5411497159391,24,20.708333333333332,sequential,TEMPERATURE_HIGH → FLOW_RATE_HIGH → TEMPERATURE_HIGH
VIBRATION_HIGH,TEMPERATURE_HIGH,PRECEDES,pattern_mining,0.3561643835616438,pending,2025-12-24 23:38:12.395478,0.09219858156028368,341.49115885337613,26,15.192307692307692,sequential,TEMPERATURE_HIGH → VIBRATION_HIGH → TEMPERATURE_HIGH
FLOW_RATE_LOW,PRESSURE_HIGH,PRECEDES,pattern_mining,0.3546099290780142,pending,2025-12-24 23:38:12.394950,0.3546099290780142,29.5611823422085,100,51.56,sequential,FLOW_RATE_LOW → PRESSURE_HIGH
PRESSURE_HIGH,PRESSURE_LOW,PRECEDES,pattern_mining,0.3546099290780142,pending,2025-12-24 23:38:12.395241,0.3546099290780142,26.327671558524397,100,60.67,sequential,PRESSURE_HIGH → PRESSURE_LOW
FLOW_RATE_LOW,CURRENT_HIGH,PRECEDES,pattern_mining,0.3475177304964539,pending,2025-12-24 23:38:12.394972,0.3475177304964539,30.572974093795782,98,37.775510204081634,sequential,FLOW_RATE_LOW → CURRENT_HIGH
CURRENT_HIGH,PRESSURE_LOW,PRECEDES,pattern_mining,0.3475177304964539,pending,2025-12-24 23:38:12.394974,0.3475177304964539,27.228789809244,98,48.02040816326531,sequential,CURRENT_HIGH → PRESSURE_LOW
PRESSURE_HIGH,FLOW_RATE_LOW,PRECEDES,pattern_mining,0.3475177304964539,pending,2025-12-24 23:38:12.395039,0.3475177304964539,28.96995869536433,98,48.173469387755105,sequential,PRESSURE_HIGH → FLOW_RATE_LOW
PRESSURE_LOW,CURRENT_HIGH,PRECEDES,pattern_mining,0.3475177304964539,pending,2025-12-24 23:38:12.395044,0.3475177304964539,27.228789809244,98,47.83673469387755,sequential,PRESSURE_LOW → CURRENT_HIGH
PRESSURE_LOW,TEMPERATURE_LOW,PRECEDES,pattern_mining,0.3409090909090909,pending,2025-12-24 23:38:12.395007,0.10638297872340426,307.1473128286569,30,14.5,sequential,TEMPERATURE_LOW → PRESSURE_LOW → TEMPERATURE_LOW
FLOW_RATE_HIGH,PRESSURE_LOW,PRECEDES,pattern_mining,0.33687943262411346,pending,2025-12-24 23:38:12.395115,0.33687943262411346,25.395654645503086,95,46.16842105263158,sequential,FLOW_RATE_HIGH → PRESSURE_LOW
PRESSURE_HIGH,CURRENT_LOW,PRECEDES,pattern_mining,0.32978723404255317,pending,2025-12-24 23:38:12.395075,0.32978723404255317,24.242444707817075,93,56.483870967741936,sequential,PRESSURE_HIGH → CURRENT_LOW
VIBRATION_LOW,PRESSURE_HIGH,PRECEDES,pattern_mining,0.32978723404255317,pending,2025-12-24 23:38:12.395127,0.32978723404255317,27.237187722989045,93,48.516129032258064,sequential,VIBRATION_LOW → PRESSURE_HIGH
CURRENT_HIGH,FLOW_RATE_LOW,PRECEDES,pattern_mining,0.3262411347517731,pending,2025-12-24 23:38:12.395199,0.3262411347517731,28.70115935335931,92,58.07608695652174,sequential,CURRENT_HIGH → FLOW_RATE_LOW
VIBRATION_HIGH,PRESSURE_LOW,PRECEDES,pattern_mining,0.3191489361702128,pending,2025-12-24 23:38:12.394964,0.3191489361702128,26.37519443137372,90,50.65555555555556,sequential,VIBRATION_HIGH → PRESSURE_LOW
CURRENT_HIGH,CURRENT_LOW,PRECEDES,pattern_mining,0.3191489361702128,pending,2025-12-24 23:38:12.395118,0.3191489361702128,24.758583097801885,90,43.766666666666666,sequential,CURRENT_HIGH → CURRENT_LOW
FLOW_RATE_HIGH,FLOW_RATE_LOW,PRECEDES,pattern_mining,0.31560283687943264,pending,2025-12-24 23:38:12.394969,0.31560283687943264,26.71376878509676,89,45.73033707865169,sequential,FLOW_RATE_HIGH → FLOW_RATE_LOW
TEMPERATURE_LOW,PRESSURE_LOW,PRECEDES,pattern_mining,0.3120567375886525,pending,2025-12-24 23:38:12.394913,0.3120567375886525,49.55080843615921,88,21.96590909090909,sequential,TEMPERATURE_LOW → PRESSURE_LOW
CURRENT_LOW,CURRENT_HIGH,PRECEDES,pattern_mining,0.3049645390070922,pending,2025-12-24 23:38:12.394959,0.3049645390070922,23.65820162678847,86,57.906976744186046,sequential,CURRENT_LOW → CURRENT_HIGH
